sample,signif,r
sample_641,0.994006,-0.01845708
sample_642,1,-0.03740939
sample_643,1,-0.03703949
sample_644,1,-0.02286782
sample_645,1,-0.03419802
sample_646,1,-0.0380219
sample_647,1,-0.03478329
sample_648,0.996004,-0.0242789
sample_649,1,-0.02954025
sample_650,0.995005,-0.01949685
sample_651,0.9240759,-0.01288024
sample_652,1,-0.03242823
sample_653,1,-0.02747001
sample_654,0.967033,-0.01658836
sample_655,1,-0.03665112
sample_656,1,-0.05238063
sample_657,1,-0.02412007
sample_658,1,-0.02436042
sample_659,1,-0.03716479
sample_660,1,-0.03993564
sample_661,1,-0.03633945
sample_662,1,-0.04014723
sample_663,1,-0.02833819
sample_664,1,-0.03379951
sample_665,1,-0.04376908
sample_666,1,-0.0274093
sample_667,1,-0.03951716
sample_668,1,-0.02859226
sample_669,1,-0.02276107
sample_670,1,-0.02924297
sample_671,0.999001,-0.0199337
sample_672,1,-0.04506453
sample_673,1,-0.04752311
sample_674,1,-0.02651698
sample_675,0.999001,-0.01912052
sample_676,1,-0.03112432
sample_677,1,-0.03757774
sample_678,1,-0.05416357
sample_679,1,-0.03969389
sample_680,1,-0.03292382
sample_681,1,-0.03674772
sample_682,1,-0.03575826
sample_683,1,-0.04802044
sample_684,1,-0.02955787
sample_685,1,-0.04341745
sample_686,1,-0.03253071
sample_687,1,-0.04067361
sample_688,1,-0.06011838
sample_689,1,-0.03428963
sample_690,1,-0.02690522
sample_691,1,-0.02374941
sample_692,1,-0.05865436
sample_693,1,-0.03381702
sample_694,1,-0.03729198
sample_695,1,-0.03655523
sample_696,1,-0.04041439
sample_697,1,-0.04523163
sample_698,1,-0.05044691
sample_699,1,-0.04249402
sample_700,0.99001,-0.01854397
sample_701,1,-0.03336708
sample_702,1,-0.03216153
sample_703,1,-0.02753823
sample_704,1,-0.02083882
sample_705,1,-0.03054548
sample_706,1,-0.02692704
sample_707,0.968032,-0.01729651
sample_708,1,-0.03458232
sample_709,1,-0.04861128
sample_710,0.998002,-0.01970974
sample_711,1,-0.04156439
sample_712,1,-0.03740616
sample_713,1,-0.02949949
sample_714,1,-0.04623872
sample_715,1,-0.02813566
sample_716,1,-0.04831666
sample_717,1,-0.04261313
sample_718,1,-0.03905435
sample_719,1,-0.0422585
sample_720,1,-0.02931214
